Model;ThinkPad Hybrid USB-C + USB-A Dock;ThinkPad USB-C Dock-EU Gen 2;ThinkPad Ultra Dock - 90W;ThinkPad Pro Dock - 90W;ThinkPad Ultra Dock - 135W;ThinkPad Ultra Dock 170W;Lenovo Ultra dock - 135W;Lenovo Pro dock - 135W;Lenovo ThinkPad Workstation P50-70 Dock 230W;Lenovo Thunderbolt 3 Dock Gen2 - 135W;Lenovo Thunderbolt 3 dock 1 Gen - 170W;Lenovo Thunderbolt 3 dock 1 Gen - 230W;Lenovo Thunderbolt 3 dock 2 Gen - 230W;Lenovo USB 3.0 Pro dock;Lenovo USB 3.0 Ultra dock;ThinkPad OneLink Dock - Midnight Black- EU1;Lenovo ThinkPad OneLink Pro Dock (EU);ThinkPad OneLink+ Dock-EU;Model
e450;;;;;;;;;;;;;;40A70045;40A80045;4X10A060;4X10E529;;e450
e460;;;;;;;;;;;;;;40A70045;40A80045;4X10A060;4X10E529;;e460
e470;;;;;;;;;;;;;;40A70045;40A80045;;;;e470
e480;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;e480
e490;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;e490
E14;;40AS0090;;;;;;;;;;;;;;;;;
e560;;;;;;;;;;;;;;40A70045;40A80045;4X10A060;4X10E529;;e560
e570;;;;;;;;;;;;;;40A70045;40A80045;;;;e570
e580;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;e580
e590;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;e590
l380;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;l380
l390;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;l390
l440;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;l440
l450;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;l450
L460;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;L460
L470;40AF0135;40AS0090;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;L470
L480;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;L480
l560;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;l560
l570;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;l570
l580;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;l580
l590;40AF0135;40AS0090;;;;;;;;40AN0135;;;;40A70045;40A80045;;;;l590
L15;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;L15
L15 2gen;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;L15 2gen
p40 yoga;;;;;;;;;;;;;;40A70045;40A80045;;;;p40 yoga
P43s;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;P43s
p50;;;;;;;;;40A50230;;;;;40A70045;40A80045;;;;p50
p50s;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;p50s
p51;40AF0135;40AS0090;;;;;;;40A50230;;;;;40A70045;40A80045;;;;p51
p51s;40AF0135;40AS0090;40A20090;40A10090;40A20135;40A20170;;;;40AN0135;;;;40A70045;40A80045;;;;p51s
p52;40AF0135;40AS0090;;;;;;;;;40AN0170;40AN0230;;40A70045;40A80045;;;;p52
p52s;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;p52s
p53;40AF0135;40AS0090;;;;;;;;;40AN0170;40AN0230;;40A70045;40A80045;;;;p53
p53s;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;p53s
p70;;;;;;;;;40A50230;;;;;40A70045;40A80045;;;;p70
p71;;;;;;;;;40A50230;;;;;40A70045;40A80045;;;;p71
p72;;;;;;;;;;;40AN0170;40AN0230;;40A70045;40A80045;;;;p72
t440;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;t440
t440s;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;t440s
t450;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;t450
t450s;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;t450s
t460;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;t460
t460s;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;t460s
t470;40AF0135;40AS0090;40A20090;40A10090;40A20135;40A20170;;;;40AN0135;;;;40A70045;40A80045;;;;t470
t470s;40AF0135;40AS0090;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;t470s
t470p;40AF0135;40AS0090;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;t470p
t480;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;t480
t480s;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;t480s
t490;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;t490
t490s;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;t490s
t560;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;t560
t570;40AF0135;40AS0090;40A20090;40A10090;40A20135;40A20170;;;;40AN0135;;;;40A70045;40A80045;;;;t570
t580;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;t580
t590;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;t590
T15 1nd gen;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;40ANY230;40A80045;40A80045;;;;T15 1nd gen
T15 2Gen;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;40ANY230;40A80045;40A80045;;;;T15 2Gen
thinkpad 13;;;;;;;;;;;;;;40A70045;40A80045;;;;thinkpad 13
w540;;;;;;40A20170;;;;;;;;40A70045;40A80045;;;;w540
w541;;;;;;40A20170;;;;;;;;40A70045;40A80045;;;;w541
X1 Carbon 1st Gen;;;;;;;;;;;;;;40A70045;40A80045;;;;X1 Carbon 1st Gen
X1 Carbon 2st Gen;;;;;;;;;;;;;;40A70045;40A80045;4X10A060;4X10E529;;X1 Carbon 2st Gen
X1 Carbon 3st Gen;;;;;;;;;;;;;;40A70045;40A80045;4X10A060;4X10E529;;X1 Carbon 3st Gen
X1 Carbon 4st Gen;;;;;;;;;;;;;;40A70045;40A80045;;;40A40090;X1 Carbon 4st Gen
X1 Carbon 5st Gen;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;X1 Carbon 5st Gen
X1 Carbon 6st Gen;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;X1 Carbon 6st Gen
X1 Carbon 7st Gen;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;X1 Carbon 7st Gen
X1 Extreme 1th Gen;40AF0135;;;;;;;;;;40AN0170;40AN0230;;40A70045;40A80045;;;;X1 Extreme 1th Gen
X1 Extreme 2th Gen;;;;;;;;;;;40AN0170;40AN0230;;40A70045;40A80045;;;;X1 Extreme 2th Gen
X1 Tablet 1gen;;;;;;;;;;;;;;40A70045;40A80045;;;40A40090;X1 Tablet 1gen
X1 Tablet 2gen;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;40A40090;X1 Tablet 2gen
X1 Tablet 3gen;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;X1 Tablet 3gen
X1 Yoga 1st Gen;;;;;;;;;;;;;;40A70045;40A80045;;;40A40090;X1 Yoga 1st Gen
X1 Yoga 2st Gen;40AF0135;40AS0090;;;;;;;;40AN0135;;;;40A70045;40A80045;;;;X1 Yoga 2st Gen
X1 Yoga 3st Gen;40AF0135;40AS0090;;;;;;;;40AN0135;;;;40A70045;40A80045;;;;X1 Yoga 3st Gen
P1 1st Gen;;;;;;;;;;;40AN0170;40AN0230;;40A70045;40A80045;;;;
P1 2st Gen;;40AS0090;;;;;;;;;40AN0170;40AN0230;;40A70045;40A80045;;;;
X240;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;X240
X250;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;X250
X260;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;X260
X270;40AF0135;40AS0090;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;X270
X280;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;X280
X380 Yoga;;;;;;;;;;;;;;40A70045;40A80045;;;;X380 Yoga
X390;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;;;;;40A70045;40A80045;;;;X390
X390 Yoga;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;X390 Yoga
Yoga 260;;;;;;;;;;;;;;40A70045;40A80045;;;40A40090;Yoga 260
Yoga 370;40AF0135;40AS0090;;;;;;;;;;;;;;;;;Yoga 370
Yoga460;;;;;;;;;;;;;;;;;;40A40090;Yoga460
